course_code,canonical_title_current,observed_titles,first_seen_edition,last_seen_edition,active_current,contexts_seen,current_programs,current_program_count,historical_programs,historical_program_count,edition_count,ghost_flag,single_appearance_flag,stability_class,title_variant_class,current_title_confidence,canonical_cus,current_college,colleges_seen,notes_confidence
C168,Critical Thinking and Logic,Critical Thinking and Logic,2017-01,2026-03,True,AP,"Bachelor of Science, Information Technology Management",1,"Bachelor of Arts, Interdisciplinary Studies (K-8); Bachelor of Arts, Mathematics (5-9); Bachelor of Arts, Science (5-12, Bio); Bachelor of Arts, Science (5-9); Bachelor of Arts, Special Education; Bachelor of Science Business Administration Accounting; Bachelor of Science Business Administration Healthcare Management; Bachelor of Science Business Administration Human Resource Management; Bachelor of Science Business Administration Information Technology Management; Bachelor of Science Business Administration Management [BSBAMGA]; Bachelor of Science Business Administration Management [BSBAMGB]; Bachelor of Science Business Administration Marketing; Bachelor of Science Business Administration, Accounting; Bachelor of Science Business Administration, Healthcare Management; Bachelor of Science Business Administration, Human Resource Management; Bachelor of Science Business Administration, Information Technology Management; Bachelor of Science Business Administration, Management; Bachelor of Science Business Administration, Management [BSBAMGA]; Bachelor of Science Business Administration, Management [BSBAMGB]; Bachelor of Science Business Administration, Management [BSBAMGC]; Bachelor of Science Business Administration, Marketing; Bachelor of Science, Business - Healthcare Management; Bachelor of Science, Business - Human Resource Management; Bachelor of Science, Business - Information Technology Management; Bachelor of Science, Business Management; Bachelor of Science, Cloud and Systems Administration; Bachelor of Science, Cybersecurity and Information Assurance; Bachelor of Science, Data Management/Data Analytics; Bachelor of Science, Health Information Management; Bachelor of Science, Health Services Coordination; Bachelor of Science, Healthcare Administration; Bachelor of Science, IT - Networks Administration Emphasis; Bachelor of Science, IT - Security Emphasis; Bachelor of Science, Information Technology; Bachelor of Science, Information Technology Management; Bachelor of Science, Marketing Management; Bachelor of Science, Network Operations and Security; Bachelor of Science, Software Development; Bachelor of Science, Software Development [BSITSWC]; Bachelor of Science, Software Development [BSITSW]",40,108,False,False,perpetual,none,high,3,School of Business,College of Business | College of Health Professions | College of Information Technology | School of Business | Teachers College,
C172,Network and Security - Foundations,Network and Security - Foundations,2017-01,2026-03,True,AP,"Bachelor of Science, Information Technology Management",1,"Bachelor of Science Business Administration Information Technology Management; Bachelor of Science Business Administration, Information Technology Management; Bachelor of Science, Business - Information Technology Management; Bachelor of Science, Cloud Computing; Bachelor of Science, Cloud and Systems Administration; Bachelor of Science, Computer Science; Bachelor of Science, Cybersecurity and Information Assurance; Bachelor of Science, Data Management/Data Analytics; Bachelor of Science, IT - Networks Administration Emphasis; Bachelor of Science, IT - Security Emphasis; Bachelor of Science, Information Technology; Bachelor of Science, Information Technology Management; Bachelor of Science, Network Operations and Security; Bachelor of Science, Software Development; Bachelor of Science, Software Development [BSITSWC]; Bachelor of Science, Software Development [BSITSW]",16,108,False,False,perpetual,none,high,3,School of Business,College of Business | College of Information Technology | School of Business,
C175,Data Management - Foundations,Data Management - Foundations,2017-01,2026-03,True,AP,"Bachelor of Science, Information Technology Management",1,"Bachelor of Science Business Administration Information Technology Management; Bachelor of Science Business Administration, Information Technology Management; Bachelor of Science, Business - Information Technology Management; Bachelor of Science, Cloud Computing; Bachelor of Science, Cloud and Systems Administration; Bachelor of Science, Computer Science; Bachelor of Science, Cybersecurity and Information Assurance; Bachelor of Science, Data Management/Data Analytics; Bachelor of Science, Health Information Management; Bachelor of Science, IT - Networks Administration Emphasis; Bachelor of Science, IT - Security Emphasis; Bachelor of Science, Information Technology; Bachelor of Science, Information Technology Management; Bachelor of Science, Network Operations and Security; Bachelor of Science, Software Development; Bachelor of Science, Software Development [BSITSWC]; Bachelor of Science, Software Development [BSITSW]",17,108,False,False,perpetual,none,high,3,School of Business,College of Business | College of Information Technology | School of Business,
C179,Business of IT - Applications,Business of IT - Applications,2017-01,2026-03,True,AP,"Bachelor of Science, Information Technology Management",1,"Bachelor of Science Business Administration Information Technology Management; Bachelor of Science Business Administration, Information Technology Management; Bachelor of Science, Business - Information Technology Management; Bachelor of Science, Data Management/Data Analytics; Bachelor of Science, Health Information Management; Bachelor of Science, IT - Networks Administration Emphasis; Bachelor of Science, IT - Security Emphasis; Bachelor of Science, Information Technology; Bachelor of Science, Information Technology Management; Bachelor of Science, Software Development",10,108,False,False,perpetual,none,high,4,School of Business,College of Business | College of Information Technology | School of Business,
C180,Introduction to Psychology,Introduction to Psychology,2017-01,2026-03,True,AP,"Bachelor of Science in Psychology; Bachelor of Science, Health Information Management; Bachelor of Science, Health Science; Bachelor of Science, Health and Human Services; Bachelor of Science, Nursing; Bachelor of Science, Nursing - Prelicensure (Pre-Nursing); Bachelor of Science, Public Health; Master of Science, Nursing - Education (RN to MSN); Master of Science, Nursing - Leadership and Management (RN to MSN); Master of Science, Nursing - Nursing Informatics (RN to MSN)",10,"Bachelor of Science in Psychology; Bachelor of Science, Business - Healthcare Management; Bachelor of Science, Business - Human Resource Management; Bachelor of Science, Business - Information Technology Management; Bachelor of Science, Health Information Management; Bachelor of Science, Health Science; Bachelor of Science, Health Services Coordination; Bachelor of Science, Health and Human Services; Bachelor of Science, Nursing; Bachelor of Science, Nursing - Prelicensure (Pre-Nursing); Bachelor of Science, Nursing [BSNU]; Bachelor of Science, Nursing [BSRN]; Bachelor of Science, Public Health; Master of Science, Nursing - Education (RN to MSN); Master of Science, Nursing - Education [MSRNNUEDGR]; Master of Science, Nursing - Leadership and Management (RN to MSN); Master of Science, Nursing - Leadership and Management [MSRNNULMGR]; Master of Science, Nursing - Nursing Informatics; Master of Science, Nursing - Nursing Informatics (RN to MSN); Master of Science, Nursing - Nursing Informatics [MSRNNUNIGR]; Master of Science, Nursing - Nursing Informatics [[UNKNOWN]]",21,108,False,False,perpetual,none,high,3,Leavitt School of Health,College of Business | College of Health Professions | College of Information Technology | Leavitt School of Health,
C190,Introduction to Biology,Introduction to Biology,2017-01,2026-03,True,AP,"Bachelor of Arts, Educational Studies in Elementary Education; Bachelor of Arts, Educational Studies in Mild to Moderate Exceptionalities Special Education; Bachelor of Arts, Educational Studies in Special and Elementary Education; Bachelor of Arts, Elementary Education; Bachelor of Arts, Special Education and Elementary Education (Dual Licensure); Bachelor of Arts, Special Education, Mild to Moderate; Bachelor of Science in Psychology; Bachelor of Science, Health Information Management; Bachelor of Science, Health and Human Services; Bachelor of Science, Public Health",10,"Bachelor of Arts, Educational Studies in Elementary Education; Bachelor of Arts, Educational Studies in Middle Grades Mathematics Education; Bachelor of Arts, Educational Studies in Middle Grades Science Education; Bachelor of Arts, Educational Studies in Mild to Moderate Exceptionalities Special Education; Bachelor of Arts, Educational Studies in Secondary Biological Science Education; Bachelor of Arts, Educational Studies in Secondary Chemistry Science Education; Bachelor of Arts, Educational Studies in Secondary Earth Science Education; Bachelor of Arts, Educational Studies in Secondary Mathematics Education; Bachelor of Arts, Educational Studies in Secondary Physics Science Education; Bachelor of Arts, Educational Studies in Special and Elementary Education; Bachelor of Arts, Elementary Education; Bachelor of Arts, Interdisciplinary Studies (K-8); Bachelor of Arts, Mathematics (5-12); Bachelor of Arts, Mathematics (5-9); Bachelor of Arts, Science (5-12, Bio); Bachelor of Arts, Science (5-12, Chemistry); Bachelor of Arts, Science (5-12, Geo); Bachelor of Arts, Science (5-12, Physics); Bachelor of Arts, Science (5-9); Bachelor of Arts, Special Education; Bachelor of Arts, Special Education Mild to Moderate; Bachelor of Arts, Special Education and Elementary Education (Dual Licensure); Bachelor of Arts, Special Education, Mild to Moderate; Bachelor of Science in Psychology; Bachelor of Science, Cloud Computing; Bachelor of Science, Cloud Computing - Amazon Web Services track; Bachelor of Science, Cloud Computing - Microsoft Azure track; Bachelor of Science, Cloud Computing – Amazon Web Services track; Bachelor of Science, Cloud Computing – Microsoft Azure track; Bachelor of Science, Cloud and Systems Administration; Bachelor of Science, Health Information Management; Bachelor of Science, Health and Human Services; Bachelor of Science, IT - Networks Administration Emphasis; Bachelor of Science, IT - Security Emphasis; Bachelor of Science, Marketing Management; Bachelor of Science, Mathematics Education (Middle Grades); Bachelor of Science, Mathematics Education (Secondary); Bachelor of Science, Network Operations and Security; Bachelor of Science, Public Health; Bachelor of Science, Science Education (Middle Grades); Bachelor of Science, Science Education (Secondary Biological Science); Bachelor of Science, Science Education (Secondary Chemistry); Bachelor of Science, Science Education (Secondary Earth Science); Bachelor of Science, Science Education (Secondary Physics); Master of Arts in Teaching programs are the choice for you. These teacher-prep programs qualify you to become",45,108,False,False,perpetual,none,high,3,Leavitt School of Health; School of Education,College of Business | College of Health Professions | College of Information Technology | Leavitt School of Health | School of Education | School of Technology | Teachers College,
C200,Managing Organizations and Leading People,Managing Organizations and Leading People,2017-01,2026-03,True,AP,"MBA, IT Management; Master of Business Administration; Master of Business Administration, Healthcare Administration; Master of Science in Marketing, Digital Marketing Specialization; Master of Science in Marketing, Marketing Analytics Specialization; Master of Science, Human Resource Management; Master of Science, Management and Leadership",7,"MBA, Healthcare Management; MBA, IT Management; Master of Business Administration; Master of Business Administration, Healthcare Administration; Master of Science in Marketing, Digital Marketing Specialization; Master of Science in Marketing, Marketing Analytics Specialization; Master of Science, Human Resource Management; Master of Science, Management and Leadership",8,108,False,False,perpetual,none,high,3,School of Business,College of Business | School of Business,
C201,Business Acumen,Business Acumen,2017-01,2026-03,True,AP,"Master of Science, Human Resource Management; Master of Science, Management and Leadership",2,"Master of Science, Human Resource Management; Master of Science, Management and Leadership",2,108,False,False,perpetual,none,high,3,School of Business,College of Business | School of Business,
C202,Managing Human Capital,Managing Human Capital,2017-01,2026-03,True,AP,"MBA, IT Management; Master of Business Administration; Master of Science, Human Resource Management; Master of Science, Management and Leadership",4,"MBA, Healthcare Management; MBA, IT Management; Master of Business Administration; Master of Science, Human Resource Management; Master of Science, Management and Leadership",5,108,False,False,perpetual,none,high,3,School of Business,College of Business | School of Business,
C203,Becoming an Effective Leader,Becoming an Effective Leader,2017-01,2026-03,True,AP,"Master of Science, Management and Leadership",1,"Master of Science, Management and Leadership",1,108,False,False,perpetual,none,high,3,School of Business,College of Business | School of Business,
C204,Management Communication,Management Communication,2017-01,2026-03,True,AP,"Master of Business Administration; Master of Science in Accounting, Auditing Specialization; Master of Science in Accounting, Financial Reporting Specialization; Master of Science in Accounting, Management Accounting Specialization; Master of Science in Accounting, Taxation Specialization; Master of Science, Human Resource Management; Master of Science, Management and Leadership",7,"Master of Business Administration; Master of Science in Accounting, Auditing Specialization; Master of Science in Accounting, Financial Reporting Specialization; Master of Science in Accounting, Management Accounting Specialization; Master of Science in Accounting, Taxation Specialization; Master of Science, Accounting; Master of Science, Human Resource Management; Master of Science, Management and Leadership",8,108,False,False,perpetual,none,high,3,School of Business,College of Business | School of Business,
C205,Leading Teams,Leading Teams,2017-01,2026-03,True,AP,"Master of Science, Management and Leadership",1,"Master of Science, Management and Leadership",1,108,False,False,perpetual,none,high,3,School of Business,College of Business | School of Business,
C206,Ethical Leadership,Ethical Leadership,2017-01,2026-03,True,AP,"MBA, IT Management; Master of Business Administration; Master of Business Administration, Healthcare Administration; Master of Science, Management and Leadership",4,"MBA, Healthcare Management; MBA, IT Management; Master of Business Administration; Master of Business Administration, Healthcare Administration; Master of Science, Management and Leadership",5,108,False,False,perpetual,none,high,3,School of Business,College of Business | School of Business,
C207,Data-Driven Decision Making,Data-Driven Decision Making,2017-01,2026-03,True,AP,"MBA, IT Management; Master of Business Administration; Master of Business Administration, Healthcare Administration; Master of Science, Human Resource Management",4,"MBA, Healthcare Management; MBA, IT Management; Master of Business Administration; Master of Business Administration, Healthcare Administration; Master of Science, Human Resource Management; Master of Science, Management and Leadership",6,108,False,False,perpetual,none,high,3,School of Business,College of Business | School of Business,
C208,Change Management and Innovation,Change Management and Innovation,2017-01,2026-03,True,AP,"Master of Science, Management and Leadership",1,"Master of Science, Management and Leadership",1,108,False,False,perpetual,none,high,3,School of Business,College of Business | School of Business,
C209,Strategic Management,Strategic Management,2017-01,2026-03,True,AP,"Master of Science, Management and Leadership",1,"Master of Science, Accounting; Master of Science, Management and Leadership",2,108,False,False,perpetual,none,high,3,School of Business,College of Business | School of Business,
C210,Management and Leadership Capstone,Management and Leadership Capstone,2017-01,2026-03,True,AP,"Master of Science, Management and Leadership",1,"Master of Science, Management and Leadership",1,108,False,False,perpetual,none,high,4,School of Business,College of Business | School of Business,
C211,Global Economics for Managers,Global Economics for Managers,2017-01,2026-03,True,AP,"MBA, IT Management; Master of Business Administration; Master of Business Administration, Healthcare Administration",3,"MBA, Healthcare Management; MBA, IT Management; Master of Business Administration; Master of Business Administration, Healthcare Administration",4,108,False,False,perpetual,none,high,3,School of Business,College of Business | School of Business,
C212,Marketing,Marketing,2017-01,2026-03,True,AP,"MBA, IT Management; Master of Business Administration; Master of Business Administration, Healthcare Administration",3,"MBA, Healthcare Management; MBA, IT Management; Master of Business Administration; Master of Business Administration, Healthcare Administration",4,108,False,False,perpetual,none,high,3,School of Business,College of Business | School of Business,
C213,Accounting for Decision Makers,Accounting for Decision Makers,2017-01,2026-03,True,AP,"MBA, IT Management; Master of Business Administration; Master of Business Administration, Healthcare Administration",3,"MBA, Healthcare Management; MBA, IT Management; Master of Business Administration; Master of Business Administration, Healthcare Administration",4,108,False,False,perpetual,none,high,3,School of Business,College of Business | School of Business,
C214,Financial Management,Financial Management,2017-01,2026-03,True,AP,"MBA, IT Management; Master of Business Administration; Master of Business Administration, Healthcare Administration",3,"MBA, Healthcare Management; MBA, IT Management; Master of Business Administration; Master of Business Administration, Healthcare Administration; Master of Science, Accounting",5,108,False,False,perpetual,none,high,3,School of Business,College of Business | School of Business,
